Fortune  Rank (2018),Company Name,Ticker Symbol,Fortune Rank (2017),Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
306,Nvidia,NVDA,387,"$9,714",40.6%,"$3,047.0",82.9%,"$11,241","$140,112","11,528",Jen-Hsun Huang,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.nvidia.com,2,http://fortune.com/fortune500/nvidia/
307,Voya Financial,VOYA,266,"$9,660",-10.4%,"$-2,992.0",,"$222,532","$8,686","6,300",Rodney O. Martin Jr.,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.voya.com,4,http://fortune.com/fortune500/voya-financial/
308,CenterPoint Energy,CNP,362,"$9,614",27.7%,"$1,792.0",314.8%,"$22,736","$11,822","7,977",Scott M. Prochazka,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,Houston,http://www.centerpointenergy.com,24,http://fortune.com/fortune500/centerpoint-energy/
309,eBay,EBAY,310,"$9,567",6.5%,"$-1,016.0",-114.0%,"$25,981","$40,726","14,100",Devin N. Wenig,"President, Chief Executive Officer & Director",Technology,Internet Services and Retailing,"San Jose, Calif.",http://www.ebay.com,13,http://fortune.com/fortune500/ebay/
310,Eastman Chemical,EMN,309,"$9,549",6.0%,"$1,384.0",62.1%,"$15,999","$15,073","14,000",Mark J. Costa,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Kingsport, Tenn.",http://www.eastman.com,24,http://fortune.com/fortune500/eastman-chemical/
311,American Family Insurance Group,,315,"$9,545",8.1%,$155.6,-52.2%,"$24,233",,"11,307",Jack C. Salzwedel,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Madison, Wis.",http://www.amfam.com,22,http://fortune.com/fortune500/american-family-insurance-group/
312,Steel Dynamics,STLD,347,"$9,539",22.7%,$812.7,112.7%,"$6,856","$10,444","7,635",Mark D. Millett,"President, Chief Executive Officer & Director",Materials,Metals,"Fort Wayne, Ind.",http://www.steeldynamics.com,9,http://fortune.com/fortune500/steel-dynamics/
313,Pacific Life,,302,"$9,510",3.7%,"$1,365.0",65.7%,"$157,877",,"3,578",James T. Morris,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newport Beach, Calif.",http://www.pacificlife.com,22,http://fortune.com/fortune500/pacific-life/
314,Chesapeake Energy,CHK,343,"$9,496",20.6%,$949.0,,"$12,425","$2,746","3,200",Robert D. Lawler,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Oklahoma City,http://www.chk.com,13,http://fortune.com/fortune500/chesapeake-energy/
315,Mohawk Industries,MHK,311,"$9,491",5.9%,$971.6,4.4%,"$12,095","$17,283","38,800",Jeffrey S. Lorberbaum,Chairman & Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Calhoun, Ga.",http://www.mohawkind.com,19,http://fortune.com/fortune500/mohawk-industries/
316,Quanta Services,PWR,355,"$9,467",23.7%,$315.0,58.8%,"$6,480","$5,281","32,800",Earl C. Austin Jr.,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Houston,http://www.quantaservices.com,6,http://fortune.com/fortune500/quanta-services/
317,Advance Auto Parts,AAP,292,"$9,374",-2.0%,$475.5,3.5%,"$8,482","$8,770","55,500",Thomas R. Greco,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Roanoke, Va.",http://www.advanceautoparts.com,16,http://fortune.com/fortune500/advance-auto-parts/
318,Owens & Minor,OMI,288,"$9,318",-4.2%,$72.8,-33.1%,"$3,376",$961,"8,600",P. Cody Phipps,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Mechanicsville, Va.",http://www.owens-minor.com,24,http://fortune.com/fortune500/owens-minor/
319,United Natural Foods,UNFI,325,"$9,275",9.5%,$130.2,3.5%,"$2,887","$2,165","9,700",Steven L. Spinner,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,"Providence, R.I.",http://www.unfi.com,6,http://fortune.com/fortune500/united-natural-foods/
320,Tenneco,TEN,322,"$9,274",7.8%,$207.0,-41.9%,"$4,842","$2,822","32,000",Brian J. Kesseler,Chief Executive Officer & Director,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, Ill.",http://www.tenneco.com,24,http://fortune.com/fortune500/tenneco/
321,Conagra Brands,CAG,197,"$9,235",-34.7%,$639.3,,"$10,096","$14,776","12,600",Sean M. Connolly,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,Chicago,http://www.conagrabrands.com,24,http://fortune.com/fortune500/conagra-brands/
322,GameStop,GME,321,"$9,225",7.2%,$34.7,-90.2%,"$5,042","$1,279","39,500",Shane S. Kim,Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,"Grapevine, Texas",http://www.gamestop.com,12,http://fortune.com/fortune500/gamestop/
323,Hormel Foods,HRL,295,"$9,168",-3.7%,$846.7,-4.9%,"$6,976","$18,174","20,200",James P. Snee,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Consumer Products,"Austin, Minn.",http://www.hormelfoods.com,24,http://fortune.com/fortune500/hormel-foods/
324,Hilton Worldwide Holdings,HLT,241,"$9,140",-21.6%,"$1,259.0",261.8%,"$14,308","$24,957","163,000",Christopher J. Nassetta,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, Va.",http://www.hiltonworldwide.com,15,http://fortune.com/fortune500/hilton-worldwide-holdings/
325,Frontier Communications,FTR,313,"$9,128",2.6%,"$-1,804.0",,"$24,884",$582,"22,736",Daniel J. McCarthy,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Norwalk, Conn.",http://www.frontier.com,5,http://fortune.com/fortune500/frontier-communications/
326,Fidelity National Information Services,FIS,301,"$9,123",-1.3%,"$1,319.0",132.2%,"$24,517","$31,893","53,000",Gary A. Norcross,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Jacksonville, Fla.",http://www.fisglobal.com,9,http://fortune.com/fortune500/fidelity-national-information-services/
327,Public Service Enterprise Group,PEG,306,"$9,084",0.3%,"$1,574.0",77.5%,"$42,716","$25,359","12,945",Ralph Izzo,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Newark, N.J.",http://www.pseg.com,24,http://fortune.com/fortune500/public-service-enterprise-group/
328,Boston Scientific,BSX,327,"$9,048",7.9%,$104.0,-70.0%,"$19,042","$37,688","29,000",Michael F. Mahoney,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Marlborough, Mass.",http://www.bostonscientific.com,15,http://fortune.com/fortune500/boston-scientific/
329,O’Reilly Automotive,ORLY,323,"$8,978",4.5%,"$1,133.8",9.3%,"$7,572","$20,607","60,365",Gregory D. Johnson,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Springfield, Mo.",http://www.oreillyauto.com,9,http://fortune.com/fortune500/oreilly-automotive/
330,Charles Schwab,SCHW,357,"$8,960",17.2%,"$2,354.0",24.6%,"$243,274","$70,313","17,600",Walter W. Bettinger II,"President, Chief Executive Officer & Director",Financials,Securities,San Francisco,http://www.aboutschwab.com,20,http://fortune.com/fortune500/charles-schwab/
331,Global Partners,GLP,334,"$8,921",8.3%,$58.8,,"$2,320",$522,"2,000",Eric Slifka,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Waltham, Mass.",http://www.globalp.com,12,http://fortune.com/fortune500/global-partners/
332,PVH,PVH,335,"$8,915",8.7%,$537.8,-2.0%,"$11,886","$11,649","28,050",Emanuel Chirico,Chairman & Chief Executive Officer,Apparel,Apparel,New York City,http://www.pvh.com,8,http://fortune.com/fortune500/pvh/
333,Avis Budget Group,CAR,319,"$8,848",2.2%,$361.0,121.5%,"$17,699","$3,792","26,300",Larry D. De Shon,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Parsippany, N.J.",http://www.avisbudgetgroup.com,21,http://fortune.com/fortune500/avis-budget-group/
334,Targa Resources,TRGP,402,"$8,815",31.7%,$54.0,,"$14,389","$9,629","2,130",Joe Bob Perkins,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.targaresources.com,10,http://fortune.com/fortune500/targa-resources/
